dataset_index,true_cipher_type,difficulty,true_plaintext,ciphertext_original,rq2_std_pred,rq2_std_correct,rq2_char_pred,rq2_char_correct,rq3_std_pred,rq3_std_correct,rq3_char_pred,rq3_char_correct
1749,Bacon Cipher,1,It was a time of great upheaval and change in society.,ABAAABAABBBABBAAAAAABAABAAAAAABAABBABAAAABBAAAABAAABBBAAABABAABBABAAABAABAAAAAAABAABBBABAAABBBBAABBBAABAAAAAAABABABAAAAAABABBAAAAAABBABAAABBAAABAAABBBAAAAAABBABAABBAAABAAABAAAABBABBAABAABBBAAAABAABAAAAABAABAABBBBAAA,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1750,Rail Fence Cipher,2,It was a time of great upheaval and change in society.,Ia e apvacgncytwsatm fgetuhaa n hnei oit.  ior elda se,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Playfair Cipher,False
1751,Vigenère Cipher,2,It was a time of great upheaval and change in society.,ge pgc r cgxv up xznye nvrbrdjj rgj zyiwep bt pfkrcep.,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True
1752,Playfair Cipher,2,It was a time of great upheaval and change in society.,BPZHTLPBEDPDKCHEQAWFHEZEAEDFIUNTDUBFTPRCAOZY,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Atbash Cipher,False
1753,RSA Cipher,3,It was a time of great upheaval and change in society.,1486 884 1992 1107 1632 1230 1992 1632 1992 884 3179 2271 1313 1992 2185 1369 1992 2923 2412 1313 1632 884 1992 2160 612 2170 1313 1632 2578 1632 745 1992 1632 2235 1773 1992 281 2170 1632 2235 2923 1313 1992 3179 2235 1992 1230 2185 281 3179 1313 884 487 2825,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1754,AES Cipher,3,It was a time of great upheaval and change in society.,hdPd20uM0+ghzS3ktqBtAwKnC+vMpT938BdRxbiguxnYR5ZAu4EWvaomycwwD5OQZJiRCJiEKe7+VwzJyx8lGQ==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Vigenère Cipher,False
1755,Caesar Cipher,1,The software architecture follows microservices principles for better scalability.,wkh vriwzduh dufklwhfwxuh iroorzv plfurvhuylfhv sulqflsohv iru ehwwhu vfdodelolwb.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1756,Atbash Cipher,1,The software architecture follows microservices principles for better scalability.,Gsv hlugdziv zixsrgvxgfiv ulooldh nrxilhvierxvh kirmxrkovh uli yvggvi hxzozyrorgb.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1757,Morse Code,1,The software architecture follows microservices principles for better scalability.,- .... .   ... --- ..-. - .-- .- .-. .   .- .-. -.-. .... .. - . -.-. - ..- .-. .   ..-. --- .-.. .-.. --- .-- ...   -- .. -.-. .-. --- ... . .-. ...- .. -.-. . ...   .--. .-. .. -. -.-. .. .--. .-.. . ...   ..-. --- .-.   -... . - - . .-.   ... -.-. .- .-.. .- -... .. .-.. .. - -.-- .,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1758,Bacon Cipher,1,The software architecture follows microservices principles for better scalability.,BAABBAABBBAABAABAABAABBBAAABABBAABBBABBAAAAAABAAABAABAAAAAAABAAABAAABAAABBBABAAABAABBAABAAAAABABAABBBABAABAAABAABAAAABABABBBAABABBABABBABBBABABBABAABAABBAAABAAAAAABABAAABABBBABAABAAABAABAAABBABABABAAAAAABAAABAABAABAABBBBBAAABABAAAABBABAAABAABAAAABBBBABABBAABAABAABAAABABABBBABAAABAAAABAABAABAABBBAABBAABAABAAABBAABAAAABAAAAAAABABBAAAAAAAAABABAAAABABBABAAABAABBBBAAA,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False
1759,Rail Fence Cipher,2,The software architecture follows microservices principles for better scalability.,Tsw hcelscecpceoeraiyh otaeacietr olw irsrie rnilsfrbte clblt.efrrtufomovsip  tsai,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,True,Playfair Cipher,False
1760,Vigenère Cipher,2,The software architecture follows microservices principles for better scalability.,lrz dnjmuzjo fcblbrdudpwp jhjkggn xhgkmrwbqnndw nqaxxnakil egb gpsxxp kmvqlamegsq.,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True,Rail Fence Cipher,False
1761,Playfair Cipher,2,The software architecture follows microservices principles for better scalability.,HWFKYEHCUABKTBAMXCMHBAFBGKKGYHNMBTYKBXRNDFKQARMDMQKDYQUXCFVZXCZABHKHIRANZW,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1762,RSA Cipher,3,The software architecture follows microservices principles for better scalability.,2159 2170 1313 1992 1230 2185 1369 884 1107 1632 2412 1313 1992 1632 2412 281 2170 3179 884 1313 281 884 2160 2412 1313 1992 1369 2185 745 745 2185 1107 1230 1992 2271 3179 281 2412 2185 1230 1313 2412 2578 3179 281 1313 1230 1992 612 2412 3179 2235 281 3179 612 745 1313 1230 1992 1369 2185 2412 1992 2570 1313 884 884 1313 2412 1992 1230 281 1632 745 1632 2570 3179 745 3179 884 487 2825,Vigenère Cipher,False,Morse Code,False,RSA Cipher,True,Vigenère Cipher,False
1763,AES Cipher,3,The software architecture follows microservices principles for better scalability.,N19c168QAWu0trCqr+Guv2JYVvBY4LMV2Pn0RC3ed0XurXN8lErzXz9iVjqoE32jIuSt9xA5z+sAbuI74aIRM79/2cKf57EvdiGfH2zbknTygqh8ljd/sWgeZl3n0OjI,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Atbash Cipher,False
1764,Caesar Cipher,1,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,fdq'w zdlw iru wkh zhhnhqg jhwdzdb! #wudyhosodqv #dgyhqwxuhwlph,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False
1765,Atbash Cipher,1,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,Xzm'g dzrg uli gsv dvvpvmw tvgzdzb! #GizevoKozmh #ZwevmgfivGrnv,Vigenère Cipher,False,Vigenère Cipher,False,Playfair Cipher,False,Atbash Cipher,True
1766,Morse Code,1,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,-.-. .- -. ' -   .-- .- .. -   ..-. --- .-.   - .... .   .-- . . -.- . -. -..   --. . - .- .-- .- -.-- !   # - .-. .- ...- . .-.. .--. .-.. .- -. ...   # .- -.. ...- . -. - ..- .-. . - .. -- .,Morse Code,True,Vigenère Cipher,False,Morse Code,True,Morse Code,True
1767,Bacon Cipher,1,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,AAABAAAAAAABBABBAABBBABBAAAAAAABAAABAABBAABABABBBABAAABBAABBAABBBAABAABABBAAABAAAABAAABABAAABAAABBABAAABBAABBAAABAABAABBAAAAABABBAAAAAABBAAABAABBBAAABAAAAABABABAABAAABABBABBBBABABBAAAAAABBABBAABAAAAAAAAABBBABABAABAAABBABBAABBBABAABAAABAABAABAABBABAAAABBAAAABAA,Morse Code,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1768,Rail Fence Cipher,2,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,Ctiohenea#vl vuia' atfrteweedgtwy TaePas#detrTmnw   k a!rlnAnee,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False
1769,Vigenère Cipher,2,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,iew'n wfau jxe ghj xkitrhq lwugajl! #yjbbiucfnnx #gherhguwwuoqn,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True,Rail Fence Cipher,False
1770,Playfair Cipher,2,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,IHGVNBGXVPSXWCEMGCGWVKGSBNBXXSNFCMQMBAXWUFGWRVSCXGSM,Atbash Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1771,RSA Cipher,3,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,641 1632 2235 1956 884 1992 1107 1632 3179 884 1992 1369 2185 2412 1992 884 2170 1313 1992 1107 1313 1313 690 1313 2235 1773 1992 2923 1313 884 1632 1107 1632 487 1853 1992 921 2159 2412 1632 2578 1313 745 2933 745 1632 2235 1230 1992 921 2790 1773 2578 1313 2235 884 2160 2412 1313 2159 3179 2271 1313,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False
1772,AES Cipher,3,Can't wait for the weekend getaway! #TravelPlans #AdventureTime,96zsbqx/IAVyxRy7TtPFnhIhbQkIArURZsTz4RN/kPKCovP0xibVEA99jn6e33gngvV9PLUfanCpcg9X1QbjTg==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,RSA Cipher,False
1773,Caesar Cipher,1,The defense attorney presents new evidence in the case.,wkh ghihqvh dwwruqhb suhvhqwv qhz hylghqfh lq wkh fdvh.,Playfair Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1774,Atbash Cipher,1,The defense attorney presents new evidence in the case.,Gsv wvuvmhv zgglimvb kivhvmgh mvd verwvmxv rm gsv xzhv.,Playfair Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1775,Morse Code,1,The defense attorney presents new evidence in the case.,- .... .   -.. . ..-. . -. ... .   .- - - --- .-. -. . -.--   .--. .-. . ... . -. - ...   -. . .--   . ...- .. -.. . -. -.-. .   .. -.   - .... .   -.-. .- ... . .,Morse Code,True,Playfair Cipher,False,Morse Code,True,Rail Fence Cipher,False
1776,Bacon Cipher,1,The defense attorney presents new evidence in the case.,BAABBAABBBAABAAAAABBAABAAAABABAABAAABBABBAABAAABAAAAAAABAABBBAABBABBBABAAABABBABAABAABBAAAABBBBBAAABAABAABAABAAABAAABBABBAABBBAABAABBABAABAABABBAAABAABABABABAAAAAABBAABAAABBABAAABAAABAAABAAAABBABBAABBAABBBAABAAAAABAAAAAABAABAAABAA,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1777,Rail Fence Cipher,2,The defense attorney presents new evidence in the case.,Tdnar sswicnesh ees tonypeet e vdnei h aeefeternnee tc.,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,True
1778,Vigenère Cipher,2,The defense attorney presents new evidence in the case.,kcf nfvdhkv bhdphmyq ksscfdsm ezx owycyftz wx jgy tvts.,Playfair Cipher,False,Vigenère Cipher,True,Atbash Cipher,False,Rail Fence Cipher,False
1779,Playfair Cipher,2,The defense attorney presents new evidence in the case.,VDCXFGIXMICDVASPIUKWIMIXYLXIUGYFXCDIFCDYXFLCMI,Playfair Cipher,True,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1780,RSA Cipher,3,The defense attorney presents new evidence in the case.,2159 2170 1313 1992 1773 1313 1369 1313 2235 1230 1313 1992 1632 884 884 2185 2412 2235 1313 487 1992 612 2412 1313 1230 1313 2235 884 1230 1992 2235 1313 1107 1992 1313 2578 3179 1773 1313 2235 281 1313 1992 3179 2235 1992 884 2170 1313 1992 281 1632 1230 1313 2825,Atbash Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False
1781,AES Cipher,3,The defense attorney presents new evidence in the case.,Hdbj2yk07sOvoEjH1mJuXMzbLTzM99wNlibRE6Qs71k8Cv/nfczJPqkWlA9LOMbeKvgiOaFSv5CWOIuMcxbM7g==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Atbash Cipher,False
1782,Caesar Cipher,1,Company announces plans for international expansion,frpsdqb dqqrxqfhv sodqv iru lqwhuqdwlrqdo hasdqvlrq,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1783,Atbash Cipher,1,Company announces plans for international expansion,Xlnkzmb zmmlfmxvh kozmh uli rmgvimzgrlmzo vckzmhrlm,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1784,Morse Code,1,Company announces plans for international expansion,-.-. --- -- .--. .- -. -.--   .- -. -. --- ..- -. -.-. . ...   .--. .-.. .- -. ...   ..-. --- .-.   .. -. - . .-. -. .- - .. --- -. .- .-..   . -..- .--. .- -. ... .. --- -.,Vigenère Cipher,False,Vigenère Cipher,False,Morse Code,True,Morse Code,True
1785,Bacon Cipher,1,Company announces plans for international expansion,AAABAABBBAABBAAABBBBAAAAAABBABBBAAAAAAAAABBABABBABABBBABABAAABBABAAABAAABAABAABAABBBBABABBAAAAAABBABBAABAAABABABBBABAAABABAAAABBABBAABBAABAABAAABABBABAAAAABAABBABAAAABBBAABBABAAAAAABABBAABAABABBBABBBBAAAAAABBABBAABAABAAAABBBAABBAB,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
1786,Rail Fence Cipher,2,Company announces plans for international expansion,Caausafirilpiopn none ln o nentoa xasomyncpsrtanenn,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False
1787,Vigenère Cipher,2,Company announces plans for international expansion,ngubfoe qgygczhfy felfa kpx ygewzzfuozdtw mjubtdyhy,Vigenère Cipher,True,Vigenère Cipher,True,Atbash Cipher,False,Rail Fence Cipher,False
1788,Playfair Cipher,2,Company announces plans for international expansion,GLHSCEWDCNFLCIANTQKCBRGTPNFRNQECPFLFCKNWQUBRFHCN,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
1789,RSA Cipher,3,Company announces plans for international expansion,641 2185 2271 612 1632 2235 487 1992 1632 2235 2235 2185 2160 2235 281 1313 1230 1992 612 745 1632 2235 1230 1992 1369 2185 2412 1992 3179 2235 884 1313 2412 2235 1632 884 3179 2185 2235 1632 745 1992 1313 1542 612 1632 2235 1230 3179 2185 2235,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,True,Vigenère Cipher,False
1790,AES Cipher,3,Company announces plans for international expansion,jkyGLq3gpYcJqHlLmfRtjJcaWaEZEgKZV8QFuYsRnJHEWPIDckGpLy6X6CgNFlYWFELp21sd5bOjYVETs+EjfQ==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Vigenère Cipher,False
1791,Caesar Cipher,1,The best way to predict your future is to create it.,wkh ehvw zdb wr suhglfw brxu ixwxuh lv wr fuhdwh lw.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1792,Atbash Cipher,1,The best way to predict your future is to create it.,Gsv yvhg dzb gl kivwrxg blfi ufgfiv rh gl xivzgv rg.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1793,Morse Code,1,The best way to predict your future is to create it.,- .... .   -... . ... -   .-- .- -.--   - ---   .--. .-. . -.. .. -.-. -   -.-- --- ..- .-.   ..-. ..- - ..- .-. .   .. ...   - ---   -.-. .-. . .- - .   .. - .,Vigenère Cipher,False,Playfair Cipher,False,Morse Code,True,Rail Fence Cipher,False
1794,Bacon Cipher,1,The best way to predict your future is to create it.,BAABBAABBBAABAAAAAABAABAABAABABAABBBABBAAAAAABBAAABAABBABBBAABBBBBAAABAABAAAAABBABAAAAAABABAABBBBAAAABBBABABAABAAABAABABBABAABAABBBABAABAAABAABAAABAAABAABABAABBABBBAAAABABAAABAABAAAAAAABAABBAABAAABAAABAABB,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1795,Rail Fence Cipher,2,The best way to predict your future is to create it.,Tb  piy uioe h etwyt rdc orftr st raei.esaoetuue ctt,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,True
1796,Vigenère Cipher,2,The best way to predict your future is to create it.,mxl tlko ato zg hmdhbsa qvmm jnjbxw an xh jxwhlz mm.,Vigenère Cipher,True,Vigenère Cipher,True,Atbash Cipher,False,Rail Fence Cipher,False
1797,Playfair Cipher,2,The best way to predict your future is to create it.,ECSOKUSVOZEIQMUOCMEVDENLESKPTOUSIHQKIKTOUV,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
1798,RSA Cipher,3,The best way to predict your future is to create it.,2159 2170 1313 1992 2570 1313 1230 884 1992 1107 1632 487 1992 884 2185 1992 612 2412 1313 1773 3179 281 884 1992 487 2185 2160 2412 1992 1369 2160 884 2160 2412 1313 1992 3179 1230 1992 884 2185 1992 281 2412 1313 1632 884 1313 1992 3179 884 2825,Vigenère Cipher,False,Vigenère Cipher,False,"RSA Cipher (Note: This is a RSA encrypted RSA modulus, not the actual encrypted message)",True,Vigenère Cipher,False
1799,AES Cipher,3,The best way to predict your future is to create it.,Z27j9Gs3DG2w4Ta1nYdKi5up4m8flqeXe49tVqYnngAzLbyzoNZvJsG+QHUQ2gg5PLn9n1gH2h+NsplMUmaOmQ==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,RSA Cipher,False
1800,Caesar Cipher,1,Climate change is one of the most pressing issues of our time.,folpdwh fkdqjh lv rqh ri wkh prvw suhvvlqj lvvxhv ri rxu wlph.,Vigenère Cipher,False,Morse Code,False,Vigenère Cipher,False,Rail Fence Cipher,False
1801,Atbash Cipher,1,Climate change is one of the most pressing issues of our time.,Xornzgv xszmtv rh lmv lu gsv nlhg kivhhrmt rhhfvh lu lfi grnv.,Vigenère Cipher,False,Morse Code,False,Atbash Cipher,True,Rail Fence Cipher,False
1802,Morse Code,1,Climate change is one of the most pressing issues of our time.,-.-. .-.. .. -- .- - .   -.-. .... .- -. --. .   .. ...   --- -. .   --- ..-.   - .... .   -- --- ... -   .--. .-. . ... ... .. -. --.   .. ... ... ..- . ...   --- ..-.   --- ..- .-.   - .. -- . .,Vigenère Cipher,False,Morse Code,True,Morse Code,True,Rail Fence Cipher,False
1803,Bacon Cipher,1,Climate change is one of the most pressing issues of our time.,AAABAABABBABAAAABBAAAAAAABAABBAABAAAAABAAABBBAAAAAABBABAABBAAABAAABAAABAABAABBBAABBABAABAAABBBAAABABBAABBAABBBAABAAABBAAABBBABAABABAABBABBBBBAAABAABAABAABABAABAABAAAABBABAABBAABAAABAABABAABABABAAAABAABAABAABBBAAABABABBBABABAABAAABBAABBABAAAABBAAAABAA,Vigenère Cipher,False,Morse Code,False,Vigenère Cipher,False,Rail Fence Cipher,False
1804,Rail Fence Cipher,2,Climate change is one of the most pressing issues of our time.,Cacgse  tenss  elmt hnei n ftems rsigise fortm.iea oohops uoui,Vigenère Cipher,False,Morse Code,False,Atbash Cipher,False,Atbash Cipher,False
1805,Vigenère Cipher,2,Climate change is one of the most pressing issues of our time.,qpnkvze ngorlc os zms td zhy lcwy kxemdhbk gnyuyd cj mpx ntls.,Vigenère Cipher,True,Morse Code,False,Atbash Cipher,False,Rail Fence Cipher,False
1806,Playfair Cipher,2,Climate change is one of the most pressing issues of our time.,ICFRFQIVFBUNFEWKKGMHWFFKKWSQKIUVYEUNEYTWKPMHNWMYFRGV,Vigenère Cipher,False,Morse Code,False,RSA Cipher,False,Rail Fence Cipher,False
1807,RSA Cipher,3,Climate change is one of the most pressing issues of our time.,641 745 3179 2271 1632 884 1313 1992 281 2170 1632 2235 2923 1313 1992 3179 1230 1992 2185 2235 1313 1992 2185 1369 1992 884 2170 1313 1992 2271 2185 1230 884 1992 612 2412 1313 1230 1230 3179 2235 2923 1992 3179 1230 1230 2160 1313 1230 1992 2185 1369 1992 2185 2160 2412 1992 884 3179 2271 1313 2825,Vigenère Cipher,False,Morse Code,False,"RSA Cipher (due to the large prime numbers involved in the ciphertext, which is a characteristic of RSA encryption)",True,Vigenère Cipher,False
1808,AES Cipher,3,Climate change is one of the most pressing issues of our time.,cBITl7iYYLMoyPXE8O/TJRNYgOYtJb+FZjEKYqlsYfrKLPb1vTP4YYA8QYKF+l1HaoI2eB0lttL3E/iXWK//lw==,Vigenère Cipher,False,Playfair Cipher,False,RSA Cipher,False,Vigenère Cipher,False
1809,Caesar Cipher,1,Regular health screenings can help detect potential issues early.,uhjxodu khdowk vfuhhqlqjv fdq khos ghwhfw srwhqwldo lvvxhv hduob.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1810,Atbash Cipher,1,Regular health screenings can help detect potential issues early.,Ivtfozi svzogs hxivvmrmth xzm svok wvgvxg klgvmgrzo rhhfvh vziob.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1811,Morse Code,1,Regular health screenings can help detect potential issues early.,.-. . --. ..- .-.. .- .-.   .... . .- .-.. - ....   ... -.-. .-. . . -. .. -. --. ...   -.-. .- -.   .... . .-.. .--.   -.. . - . -.-. -   .--. --- - . -. - .. .- .-..   .. ... ... ..- . ...   . .- .-. .-.. -.-- .,Morse Code,True,Vigenère Cipher,False,Morse Code,True,Morse Code,True
1812,Bacon Cipher,1,Regular health screenings can help detect potential issues early.,BAAABAABAAAABBABABAAABABBAAAAABAAABAABBBAABAAAAAAAABABBBAABBAABBBBAABAAAABABAAABAABAAAABAAABBABABAAAABBABAABBABAABAAAABAAAAAAABBABAABBBAABAAABABBABBBBAAABBAABAABAABBAABAAAAABABAABBABBBBABBBABAABBAABAAABBABBAABBABAAAAAAAAABABBABAAABAABABAABABABAAAABAABAABAAABAAAAAAABAAABABABBBBAAA,Vigenère Cipher,False,Atbash Cipher,False,Base64 Cipher,False,Rail Fence Cipher,False
1813,Rail Fence Cipher,2,Regular health screenings can help detect potential issues early.,Rlhtcnsnlettiiea.eua elhsreig a epdtc oeta suserygra ench epnls l,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,True
1814,Vigenère Cipher,2,Regular health screenings can help detect potential issues early.,wlerewa oxfsre olwlxspldl lfu mljm znylvy nlmawyptq gplqnx xfyjv.,Vigenère Cipher,True,Vigenère Cipher,True,Atbash Cipher,False,Rail Fence Cipher,False
1815,Playfair Cipher,2,Regular health screenings can help detect potential issues early.,NGEXQHLBFPTMCLBSGUNUPUKRHBLPDNHEDUKPUHMYNUUMHQONNYKNFPSNTY,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
1816,RSA Cipher,3,Regular health screenings can help detect potential issues early.,1859 1313 2923 2160 745 1632 2412 1992 2170 1313 1632 745 884 2170 1992 1230 281 2412 1313 1313 2235 3179 2235 2923 1230 1992 281 1632 2235 1992 2170 1313 745 612 1992 1773 1313 884 1313 281 884 1992 612 2185 884 1313 2235 884 3179 1632 745 1992 3179 1230 1230 2160 1313 1230 1992 1313 1632 2412 745 487 2825,Vigenère Cipher,False,Playfair Cipher,False,RSA Cipher,True,Vigenère Cipher,False
1817,AES Cipher,3,Regular health screenings can help detect potential issues early.,3G69eW3OZYIe/bNLD7EUypBDFINEgI1/7D5qWFIaB6LU9kwKpQ3nSgqc6HexVCSB6wpmvoXLLL6YxfuA804vAVwibPx00UA1iMGDNYwYA+4=,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Atbash Cipher,False
1818,Caesar Cipher,1,New research highlights the importance of mental health awareness,qhz uhvhdufk kljkoljkwv wkh lpsruwdqfh ri phqwdo khdowk dzduhqhvv,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False
1819,Atbash Cipher,1,New research highlights the importance of mental health awareness,Mvd ivhvzixs srtsortsgh gsv rnkligzmxv lu nvmgzo svzogs zdzivmvhh,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1820,Morse Code,1,New research highlights the importance of mental health awareness,-. . .--   .-. . ... . .- .-. -.-. ....   .... .. --. .... .-.. .. --. .... - ...   - .... .   .. -- .--. --- .-. - .- -. -.-. .   --- ..-.   -- . -. - .- .-..   .... . .- .-.. - ....   .- .-- .- .-. . -. . ... ...,Playfair Cipher,False,Vigenère Cipher,False,Morse Code,True,Rail Fence Cipher,False
1821,Bacon Cipher,1,New research highlights the importance of mental health awareness,ABBABAABAABABBABAAABAABAABAABAAABAAAAAAABAAABAAABAAABBBAABBBABAAAAABBAAABBBABABBABAAAAABBAAABBBBAABBBAABABAABBAABBBAABAAABAAAABBAAABBBBABBBABAAABBAABBAAAAAABBABAAABAAABAAABBBAAABABABBAAAABAAABBABBAABBAAAAAABABBAABBBAABAAAAAAAABABBBAABBAABBBAAAAABABBAAAAAABAAABAABAAABBABAABAABAABABAABA,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1822,Rail Fence Cipher,2,New research highlights the importance of mental health awareness,Nra hhtircfn laese eerhhglgt h motneo etlhat wrnswsciisepa maehae,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Playfair Cipher,False
1823,Vigenère Cipher,2,New research highlights the importance of mental health awareness,qor fkhxykfr rwmwegzkdn hnt gfsymdotrx hi hobzpe ahkgdv ppykhxzcg,Vigenère Cipher,True,Vigenère Cipher,True,Atbash Cipher,False,Rail Fence Cipher,False
1824,Playfair Cipher,2,New research highlights the importance of mental health awareness,PDXTCFABVAPRRGARSLARVLRKAFNHGWRBMDDUSPDPRBIKABQLRHRDXAPDFVFV,Atbash Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1825,RSA Cipher,3,New research highlights the importance of mental health awareness,3165 1313 1107 1992 2412 1313 1230 1313 1632 2412 281 2170 1992 2170 3179 2923 2170 745 3179 2923 2170 884 1230 1992 884 2170 1313 1992 3179 2271 612 2185 2412 884 1632 2235 281 1313 1992 2185 1369 1992 2271 1313 2235 884 1632 745 1992 2170 1313 1632 745 884 2170 1992 1632 1107 1632 2412 1313 2235 1313 1230 1230,Atbash Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
1826,AES Cipher,3,New research highlights the importance of mental health awareness,rhoYDWBKPaw0DSMTYBmhRoWzyZgfHIzDjjdY7vPQOwzAI4Woy1qOsX80wrhCWIoBroepqrZMleUA3Wg0nbgdWTaxx0vtTJIMPE2FFwpnBjg=,Vigenère Cipher,False,Vigenère Cipher,False,"Base64 Encoding (not an encryption method itself, but often used for encoding binary data or encrypted data)",False,RSA Cipher,False
1827,Caesar Cipher,1,It was a story that resonated with many readers around the world.,lw zdv d vwrub wkdw uhvrqdwhg zlwk pdqb uhdghuv durxqg wkh zruog.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1828,Atbash Cipher,1,It was a story that resonated with many readers around the world.,Rg dzh z hglib gszg ivhlmzgvw drgs nzmb ivzwvih zilfmw gsv dliow.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
1829,Morse Code,1,It was a story that resonated with many readers around the world.,.. -   .-- .- ...   .-   ... - --- .-. -.--   - .... .- -   .-. . ... --- -. .- - . -..   .-- .. - ....   -- .- -. -.--   .-. . .- -.. . .-. ...   .- .-. --- ..- -. -..   - .... .   .-- --- .-. .-.. -.. .,Vigenère Cipher,False,Vigenère Cipher,False,Morse Code,True,Rail Fence Cipher,False
